COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
Putative cobalt transporter membrane subunit CbtA (CbtA) (PUBMED:19915676)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG5446	GC_00007521	0.05	0	20	11
Uncharacterized OB-fold protein, contains Zn-ribbon domain (PDB:3IRB)!!!Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG1545!!!COG2030	GC_00007166	0.05	0	20	11
Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)!!!Sugar diacid utilization regulator CdaR (CdaR)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG0840!!!COG3835	GC_00007461	0.05	0	20	11
Phage terminase, small subunit (XtmA) (PDB:4ZC3)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3728	GC_00007006	0.05	0	20	11
Preprotein translocase subunit SecF (SecF) (PDB:2FYH) (PUBMED:28830929)!!!Preprotein translocase subunit SecD (SecD) (PDB:3AQP) (PUBMED:26100040)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG0341!!!COG0342	GC_00006074	0.05	0	20	11
Phage-encoded DNA-binding protein ECs1768, contains HTH and DnaT DNA-binding domains (ECs1768)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG5529	GC_00006417	0.05	0	20	11
Chromosome condensin MukBEF, kleisin-like MukF subunit (MukF) (PDB:1T98)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3006	GC_00006785	0.05	0	20	11
Uncharacterized conserved protein RhaS, contains 28 RHS repeats (RhsA) (PDB:4IGL)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3209	GC_00006500, GC_00006582	0.05	0	20	11
Signal transducer regulating beta-lactamase production, contains metallopeptidase domain (MecR1)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG4219	GC_00007239	0.05	0	20	11
P pilus assembly protein, chaperone PapD (FimC) (PDB:1BF8)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3121	GC_00006105	0.05	0	20	11
Uncharacterized OB-fold protein, contains Zn-ribbon domain (PDB:3IRB)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG1545	GC_00005650	0.05	0	20	11
Uncharacterized Zn-binding protein, DUF971 domain (PA5055) (PDB:3LUU)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3636	GC_00006413	0.05	0	20	11
ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain (SunT) (PDB:3K8U)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG2274	GC_00006691	0.05	0	20	11
Predicted kinase related to galactokinase and mevalonate kinase (PDB:4USK)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG2605	GC_00005599	0.05	0	20	11
Branched-chain amino acid ABC-type transport system, permease component (LivH)!!!ABC-type branched-chain amino acid transport system, permease component (LivM)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG0559!!!COG4177	GC_00006780	0.05	0	20	11
5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB (McrB) (PDB:6HZ4)!!!Predicted restriction endonuclease, Mrr-cat superfamily	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG1401!!!COG4127	GC_00006069	0.05	0	20	11
Predicted aminoacyl-tRNA deacylase, YbaK-like aminoacyl-tRNA editing domain (ProX) (PDB:5VXB)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3760	GC_00006728	0.05	0	20	11
Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)!!!DNA-binding transcriptional regulator, ArsR family (ArsR) (PDB:3F6V)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG0607!!!COG0640	GC_00005276	0.05	0	20	11
Imidazolonepropionase or related amidohydrolase (HutI) (PDB:3OOQ)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG1228	GC_00006172	0.05	0	20	11
Ferric iron reductase protein FhuF, involved in iron transport (FhuF)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG4114	GC_00005654	0.05	0	20	11
Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase PhnJ (PhnJ) (PDB:4XB6)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3627	GC_00007167	0.05	0	20	11
N6-adenosine-specific RNA methylase IME4 (IME4) (PDB:5IL0)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG4725	GC_00007768	0.05	0	20	11
Predicted dioxygenase, 2-oxoglutarate and Fe-dependent (2OG-Fe) dioxygenase superfamily (PDB:3PL0)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG4340	GC_00007174	0.05	0	20	11
Chromosome condensin MukBEF, MukE localization factor (MukE) (PDB:3RPU)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3095	GC_00007224	0.05	0	20	11
Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579)!!!Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG0476!!!COG0607	GC_00005677	0.05	0	20	11
Predicted nucleotidyltransferase	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG4849	GC_00007425	0.05	0	20	11
Phage portal protein BeeE (BeeE)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG4695	GC_00007511	0.05	0	20	11
Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase PhnM (PhnM)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG3454	GC_00007236	0.05	0	20	11
Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family (PDB:2A6Q)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG4115	GC_00007022	0.05	0	20	11
Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG1082	GC_00006968	0.05	0	20	11
Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase) (PdxT) (PDB:2NV0) (PUBMED:18801996;24083939)	0.5683333369665865	0.4509219649486575	0.9548708047453545	Reference	COG0311	GC_00006647	0.05	0	20	11
DNA replication protein DnaC (DnaC) (PDB:2QGZ)	0.5328495404061342	0.465411311169771	0.9847081515058534	Chennai	COG1484	GC_00000068, GC_00000193, GC_00004403, GC_00007709	0.5	0.6364	20	11
Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module (RelB) (PDB:4ML0)	0.5176877472519847	0.4718296932523683	0.9940254938117784	Reference	COG3077	GC_00004164, GC_00005406, GC_00006556, GC_00006932	0.3	0.1818	20	11
PAS domain (PAS) (PDB:2MWG)!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	0.5176877472519847	0.4718296932523683	0.9940254938117784	Reference	COG2202!!!COG4191	GC_00003982	0.3	0.1818	20	11
Uncharacterized conserved protein, contains DUF4213 and DUF364 domains (PDB:3L5O)	0.5176877472519847	0.4718296932523683	0.9940254938117784	Reference	COG2014	GC_00003977	0.3	0.1818	20	11
Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit (RnfC)	0.5176877472519847	0.4718296932523683	0.9940254938117784	Reference	COG4656	GC_00003979	0.3	0.1818	20	11
Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)!!!Predicted Fe-Mo cluster-binding protein, NifX family (NifX) (PDB:1EO1)	0.5176877472519847	0.4718296932523683	0.9940254938117784	Reference	COG0535!!!COG1433	GC_00004027	0.3	0.1818	20	11
Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)!!!Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)	0.42272733699533777	0.5155792838893389	1	Chennai	COG0280!!!COG2030	GC_00004392	0.1	0.1818	20	11
Predicted dithiol-disulfide oxidoreductase, DUF899 family	0.42272733699533754	0.515579283889339	1	Reference	COG4312	GC_00003276	0.9	0.8182	20	11
Cytosine/uracil/thiamine/allantoin permease (FUI1) (PDB:2JLN)	0.42272733699533754	0.515579283889339	1	Reference	COG1953	GC_00003224	0.9	0.8182	20	11
Phosphate-selective porin (OprP) (PDB:2O4V)	0.3269339106549883	0.5674701146367837	1	Reference	COG3746	GC_00003678	0.65	0.5455	20	11
Retron-type reverse transcriptase (YkfC)	0.2589204545457206	0.6108627887658706	1	Reference	COG3344	GC_00002899, GC_00003908, GC_00003936, GC_00004101, GC_00004542, GC_00005058, GC_00006646, GC_00006720	0.55	0.4545	20	11
Transposase (or an inactivated derivative), DDE domain (Rve)	0.220496634439454	0.6386617681449285	1	Reference	COG3316	GC_00004010	0.15	0.0909	20	11
HEPN domain protein, predicted toxin of MNT-HEPN system (HEPN) (PUBMED:26112399)	0.220496634439454	0.6386617681449285	1	Reference	COG2361	GC_00004545, GC_00006087	0.15	0.0909	20	11
ABC-type amino acid transport system, permease component (BatB)	0.21471861475719778	0.6430938751966637	1	Reference	COG4597	GC_00003422	0.8	0.7273	20	11
Phage tail protein (gp18)	0.19678755670627263	0.6573264291020955	1	Chennai	COG4672	GC_00005288	0.05	0.0909	20	11
Phage-related protein, tail assembly protein I	0.19678755670627263	0.6573264291020955	1	Chennai	COG4723	GC_00005286	0.05	0.0909	20	11
Uncharacterized conserved protein, DUF2149 domain	0.19678755670627263	0.6573264291020955	1	Reference	COG4744	GC_00000198	0.95	0.9091	20	11
Putative component of the toxin-antitoxin plasmid stabilization module	0.19678755670627263	0.6573264291020955	1	Chennai	COG3657	GC_00005568, GC_00007628	0.05	0.0909	20	11
Virulence factor SrfC-related protein (SrfC) (PUBMED:31766712)	0.19678755670627263	0.6573264291020955	1	Chennai	COG4458	GC_00005502	0.05	0.0909	20	11
Cobalamin biosynthesis protein CobN, Mg-chelatase (CobN) (PDB:4ZHJ)	0.19678755670627263	0.6573264291020955	1	Reference	COG1429	GC_00000023, GC_00004724	0.95	0.9091	20	11
Virulence factor SrfB-related protein (SrfB) (PUBMED:10844662;31766712)	0.19678755670627263	0.6573264291020955	1	Chennai	COG4457	GC_00005265	0.05	0.0909	20	11
Cell wall-associated hydrolase, NlpC_P60 family (NlpC) (PDB:2EVR)!!!Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif (Rri1) (PDB:2O95)	0.19678755670627263	0.6573264291020955	1	Chennai	COG0791!!!COG1310	GC_00005253	0.05	0.0909	20	11
Phage tail protein	0.19678755670627263	0.6573264291020955	1	Chennai	COG4718	GC_00005310	0.05	0.0909	20	11
Phage-related protein	0.19678755670627263	0.6573264291020955	1	Chennai	COG4679	GC_00007372, GC_00007680	0.05	0.0909	20	11
Phage-related protein, tail protein J	0.19678755670627263	0.6573264291020955	1	Chennai	COG4733	GC_00005280	0.05	0.0909	20	11
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (IspD) (PDB:1H3M)	0.19678755670627263	0.6573264291020955	1	Reference	COG1211	GC_00002942	0.95	0.9091	20	11
Predicted membrane flippase AglD2/YbhN, UPF0104 family (AglD2) (PUBMED:25583072)!!!Magnesium-transporting ATPase (P-type) (MgtA) (PDB:1IWO)	0.19678755670627263	0.6573264291020955	1	Reference	COG0392!!!COG0474	GC_00002989	0.95	0.9091	20	11
Transposase and inactivated derivatives, IS30 family (Tra8)	0.1939179273480507	0.6596755704829742	1	Reference	COG2826	GC_00003690, GC_00004929, GC_00005471, GC_00006157, GC_00006446, GC_00007688	0.35	0.2727	20	11
Molybdopterin-binding protein MopI (MopI) (PDB:1B9M)	0.18871904816618756	0.6639848876764577	1	Chennai	COG3585	GC_00000048	0.75	0.8182	20	11
Transposase!!!CRISPR-associated protein Csa3, CARF domain (Csa3) (PDB:2WTE) (PUBMED:21093452)	0.18871904816618693	0.6639848876764582	1	Reference	COG3335!!!COG3415	GC_00003673, GC_00007671	0.25	0.1818	20	11
Predicted Fe-Mo cluster-binding protein, NifX family (NifX) (PDB:1EO1)	0.13151523774006205	0.7168661329452345	1	Chennai	COG1433	GC_00003852, GC_00003896, GC_00003980, GC_00003996	0.3	0.3636	20	11
Transposase, IS1182 family	0.08671328727071911	0.7683978678547994	1	Reference	COG3666	GC_00003829, GC_00003933, GC_00004093, GC_00004486, GC_00006782, GC_00007450	0.6	0.5455	20	11
Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain (TrkA) (PDB:4XTT) (PUBMED:23815639;25957408;31868587;32095817)!!!Predicted Kef-type K+ transport protein, K+/H+ antiporter domain (RosB)	0.053111888136407916	0.817734213320633	1	Reference	COG0569!!!COG4651	GC_00003322	0.85	0.8182	20	11
Type VI protein secretion system component Hcp (secreted cytotoxin) (Hcp) (PDB:1Y12)	0.03955342924891042	0.8423562708166675	1	Reference	COG3157	GC_00003782	0.4	0.3636	20	11
Uncharacterized protein, UPF0437 family (PDB:2JS5)	0.025619837268266013	0.8728322509634804	1	Reference	COG5420	GC_00003915	0.3	0.2727	20	11
Nitrogenase Mo-Fe protein NifD/coenzyme F430 biosynthesis subunit CfbD (NifD/CfbD) (PDB:1FP4) (PUBMED:28225763)	0.025619837268266013	0.8728322509634804	1	Reference	COG2710	GC_00003916, GC_00003966, GC_00004004, GC_00004071	0.3	0.2727	20	11
2Fe-2S ferredoxin (PDB:1M2D) (PUBMED:24421039)	0.025619837268266013	0.8728322509634804	1	Reference	COG3411	GC_00003909	0.3	0.2727	20	11
Ferredoxin (NapF) (PDB:6FAH)	0.025619837268266013	0.8728322509634804	1	Reference	COG1145	GC_00003911	0.3	0.2727	20	11
Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain (NifU) (PDB:2Z51)!!!Fe-S cluster assembly scaffold protein IscU, NifU family (IscU) (PDB:1Q48)	0.025619837268266013	0.8728322509634804	1	Reference	COG0694!!!COG0822	GC_00003910	0.3	0.2727	20	11
Nitrogen fixation protein NifT (NifT)	0.025619837268266013	0.8728322509634804	1	Reference	COG5554	GC_00003894	0.3	0.2727	20	11
Predicted nucleotidyltransferase MJ0435 (MJ0435) (PDB:1WOT)	0.015030345831764984	0.9024251920728729	1	Reference	COG1669	GC_00004467, GC_00005248, GC_00006258	0.2	0.1818	20	11
DNA-binding transcriptional regulator, CsgD family (CsgD)	0.015030345831764984	0.9024251920728729	1	Reference	COG2771	GC_00004746, GC_00005661, GC_00005915, GC_00006341, GC_00007046, GC_00007390	0.2	0.1818	20	11
mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI)	0.015030345831764984	0.9024251920728729	1	Reference	COG2026	GC_00004376, GC_00005418	0.2	0.1818	20	11
Ribonuclease/mRNA interferase VapC, contains PIN domain (VapC) (PDB:3TND)	0.00670995681313593	0.9347148421805147	1	Reference	COG1487	GC_00004862, GC_00007815	0.1	0.0909	20	11
Na+/glutamate symporter (GltS)	0.00670995681313593	0.9347148421805147	1	Reference	COG0786	GC_00004502	0.1	0.0909	20	11
Peptidase E (PepE) (PDB:1FY2)	0.006709956813135847	0.9347148421805151	1	Chennai	COG3340	GC_00003121	0.9	0.9091	20	11
Flagellar biosynthesis protein FliR (FliR) (PDB:6S3R)	0	1	1	NA	COG1684	GC_00000352, GC_00004047	1	1	20	11
SOS response regulatory protein OraA/RecX, interacts with RecA (RecX) (PDB:3C1D)	0	1	1	NA	COG2137	GC_00000811	1	1	20	11
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	0	1	1	NA	COG0161	GC_00000495, GC_00001776, GC_00002639	1	1	20	11
Flavodoxin (FldA) (PDB:1AG9)	0	1	1	NA	COG0716	GC_00000714, GC_00004068	1	1	20	11
Cell shape-determining protein MreC (MreC) (PDB:2J5U)	0	1	1	NA	COG1792	GC_00000718	1	1	20	11
Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)	0	1	1	NA	COG0593	GC_00000783, GC_00003646, GC_00007576	1	1	20	11
Sensor histidine kinase DipB regulating citrate/malate metabolism (CitA)	0	1	1	NA	COG3290	GC_00000227	1	1	20	11
2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family (UshA) (PDB:1HO5)	0	1	1	NA	COG0737	GC_00002039, GC_00006234	1	1	20	11
DNA-binding protein YaaA associated with the oxidative stress response (YaaA) (PDB:5CAJ) (PUBMED:21378183;32796037)	0	1	1	NA	COG3022	GC_00001027	1	1	20	11
Membrane protein MutK/YedI, may be involved in DNA repair (MutK) (PUBMED:9922251;10411738;31497001)	0	1	1	NA	COG2354	GC_00001060	1	1	20	11
3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)	0	1	1	NA	COG0122	GC_00001986	1	1	20	11
Tetraacyldisaccharide-1-P 4'-kinase (Lipid A 4'-kinase) (LpxK) (PDB:4EHW)	0	1	1	NA	COG1663	GC_00001711	1	1	20	11
Uncharacterized conserved protein YeaO, DUF488 family (YeaO)	0	1	1	NA	COG3189	GC_00001884	1	1	20	11
Uncharacterized conserved protein, DUF971 family (PDB:2L6N)	0	1	1	NA	COG3536	GC_00000566, GC_00004603	1	1	20	11
Sugar isomerase-related protein YecE, UPF0759/DUF72 family (YecE) (PDB:1VPQ)	0	1	1	NA	COG1801	GC_00001033, GC_00001860, GC_00003541	1	1	20	11
Large-conductance mechanosensitive channel (MscL) (PDB:2OAR)	0	1	1	NA	COG1970	GC_00000523	1	1	20	11
Na+-NQR maturation protein NqrM (NqrM) (PUBMED:26644436)	0	1	1	NA	COG2991	GC_00000724	1	1	20	11
Lipopolysaccharide export system protein LptA (LptA) (PDB:2R19)	0	1	1	NA	COG1934	GC_00000909	1	1	20	11
Predicted oligopeptide transporter, OPT family (OPT)	0	1	1	NA	COG1297	GC_00001866	1	1	20	11
RNA polymerase-binding transcription factor DksA (DksA) (PDB:1TJL)	0	1	1	NA	COG1734	GC_00000500, GC_00000598, GC_00002303, GC_00005450, GC_00005826, GC_00006648	1	1	20	11
Uncharacterized conserved protein YdgA, DUF945 family (YdgA)	0	1	1	NA	COG5339	GC_00000106	1	1	20	11
Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM (EfeO) (PDB:3AT7)	0	1	1	NA	COG2822	GC_00001301	1	1	20	11
Aldo/keto reductase, related to diketogulonate reductase (ARA1) (PDB:1Q13)	0	1	1	NA	COG0656	GC_00002047	1	1	20	11
Cyclic di-GMP-binding protein YajQ, UPF0234 family (YajQ) (PDB:1IN0) (PUBMED:25329577)	0	1	1	NA	COG1666	GC_00000677	1	1	20	11
Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains (OafA)	0	1	1	NA	COG1835	GC_00000179, GC_00002512, GC_00002607, GC_00002696, GC_00002970, GC_00003507, GC_00005845, GC_00007144, GC_00007196, GC_00007684	1	1	20	11
Membrane protein AmpE required for beta-lactamase induction (AmpE)	0	1	1	NA	COG3725	GC_00001427	1	1	20	11
Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)	0	1	1	NA	COG0612	GC_00003088, GC_00003261	1	1	20	11
tRNA1(Val) A37 N6-methylase TrmN6 (TrmN6)	0	1	1	NA	COG4123	GC_00001424, GC_00003938, GC_00004036, GC_00004849, GC_00005235	1	1	20	11
Small periplasmic lipoprotein YifL (function unknown) (YifL)	0	1	1	NA	COG5567	GC_00000289	1	1	20	11
Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)	0	1	1	NA	COG3063	GC_00000578, GC_00002570	1	1	20	11
Fe-S cluster assembly protein CyaY, frataxin homolog (CyaY) (PDB:1EKG)	0	1	1	NA	COG1965	GC_00000916	1	1	20	11
Tetrahydrodipicolinate N-succinyltransferase (DapD) (PDB:3BXY)	0	1	1	NA	COG2171	GC_00000849	1	1	20	11
Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit (RnfB) (PUBMED:24045950)	0	1	1	NA	COG2878	GC_00000379, GC_00003897	1	1	20	11
Nitrogen regulatory protein PII (GlnK) (PDB:2GW8) (PUBMED:24610711)	0	1	1	NA	COG0347	GC_00000486, GC_00000587	1	1	20	11
Membrane protein insertase Oxa1/YidC/SpoIIIJ (YidC) (PDB:3WO6)	0	1	1	NA	COG0706	GC_00001445	1	1	20	11
GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA) (MoaA) (PDB:1TV7)	0	1	1	NA	COG2896	GC_00001101, GC_00002310	1	1	20	11
Multisubunit Na+/H+ antiporter, MnhC subunit (MnhC) (PDB:6CFW)	0	1	1	NA	COG1006	GC_00000548, GC_00000917, GC_00002119	1	1	20	11
Endonuclease I (EndA) (PDB:1OUO)	0	1	1	NA	COG2356	GC_00000103, GC_00005390	1	1	20	11
Cell division protein FtsB (FtsB) (PDB:4IFF)	0	1	1	NA	COG2919	GC_00000359	1	1	20	11
Nitrate reductase alpha subunit (NarG) (PDB:1Q16)	0	1	1	NA	COG5013	GC_00000185, GC_00006336	1	1	20	11
Glycerol-3-phosphate dehydrogenase (GlpA) (PDB:2RGH)	0	1	1	NA	COG0578	GC_00001703, GC_00001704, GC_00001829	1	1	20	11
ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	0	1	1	NA	COG1192	GC_00000397, GC_00000552, GC_00003050, GC_00003607, GC_00003880, GC_00003950, GC_00004773, GC_00005285, GC_00007032	1	1	20	11
Uncharacterized conserved protein YegP, UPF0339 family (YegP) (PDB:2K49)	0	1	1	NA	COG3422	GC_00000542	1	1	20	11
NAD(P)H-dependent FMN reductase (SsuE) (PDB:6DQI)	0	1	1	NA	COG0431	GC_00000111, GC_00000351, GC_00003343	1	1	20	11
Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake (Smf) (PDB:3MAJ)	0	1	1	NA	COG0758	GC_00002035, GC_00005652	1	1	20	11
Periplasmic chaperone for outer membrane proteins, Skp family (HlpA) (PDB:1SG2)	0	1	1	NA	COG2825	GC_00001149	1	1	20	11
Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family (CnoX) (PDB:3QDN) (PUBMED:21498507;29754824)	0	1	1	NA	COG3118	GC_00000079, GC_00000301, GC_00000692, GC_00002231, GC_00004822	1	1	20	11
Protein-tyrosine-phosphatase (Wzb) (PDB:4D74) (PUBMED:26641313)	0	1	1	NA	COG0394	GC_00000508, GC_00001398, GC_00004575, GC_00004788, GC_00005084	1	1	20	11
Serine acetyltransferase (CysE) (PDB:1T3D)	0	1	1	NA	COG1045	GC_00000056, GC_00002508, GC_00005254, GC_00006777	1	1	20	11
Uncharacterized conserved protein, DUF2333 domain	0	1	1	NA	COG5345	GC_00000375	1	1	20	11
Predicted nucleic acid-binding protein, contains Zn-ribbon domain	0	1	1	NA	COG2331	GC_00001172, GC_00004096	1	1	20	11
Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family (ApaH) (PDB:1AUI)	0	1	1	NA	COG0639	GC_00001311, GC_00006046	1	1	20	11
4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase (DapA) (PDB:2R91) (PUBMED:27574185)	0	1	1	NA	COG0329	GC_00001729, GC_00003716, GC_00005843	1	1	20	11
ATP-dependent protease ClpP, protease subunit (ClpP) (PDB:1TG6)	0	1	1	NA	COG0740	GC_00000396, GC_00005870	1	1	20	11
UDP-N-acetylglucosamine enolpyruvyl transferase (MurA) (PDB:1A2N)	0	1	1	NA	COG0766	GC_00000658	1	1	20	11
Outer membrane lipoprotein LolB, involved in outer membrane biogenesis (LolB) (PDB:1IWM)	0	1	1	NA	COG3017	GC_00001321	1	1	20	11
Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor) (SpoIIAA) (PDB:1AUZ)	0	1	1	NA	COG1366	GC_00000294, GC_00000454, GC_00000994, GC_00002578, GC_00003554, GC_00004008	1	1	20	11
Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	0	1	1	NA	COG1216	GC_00000901, GC_00002931, GC_00007515	1	1	20	11
MHYT domain, NO-binding membrane sensor (MHYT)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain	0	1	1	NA	COG3300!!!COG5001	GC_00001816	1	1	20	11
ABC-type transport system involved in cytochrome c biogenesis, permease component (CcmB)	0	1	1	NA	COG2386	GC_00001229	1	1	20	11
Aminopyrimidine aminohydrolase TenA (thiamine salvage pathway) (TenA) (PDB:2QCX) (PUBMED:17618314)	0	1	1	NA	COG0819	GC_00001961	1	1	20	11
Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains (RpfG)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain	0	1	1	NA	COG3437!!!COG5001	GC_00000156	1	1	20	11
ATP-dependent Zn proteases (HflB) (PDB:1LV7)	0	1	1	NA	COG0465	GC_00000069, GC_00001712, GC_00002294	1	1	20	11
DNA-binding transcriptional regulator, IclR family (IclR) (PDB:1MKM)	0	1	1	NA	COG1414	GC_00001605, GC_00002195, GC_00002594, GC_00006638	1	1	20	11
MFS family permease, includes anhydromuropeptide permease AmpG (ProP) (PUBMED:12426329)	0	1	1	NA	COG0477	GC_00000273, GC_00003849	1	1	20	11
TctA family transporter (PUBMED:14499931)	0	1	1	NA	COG3333	GC_00001000, GC_00003669, GC_00006384	1	1	20	11
Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain (UbiJ) (PUBMED:24142253;28559279)	0	1	1	NA	COG3165	GC_00001755	1	1	20	11
Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family (YejR) (PDB:1NIJ) (PUBMED:19822009;31132310)	0	1	1	NA	COG0523	GC_00001958, GC_00002403	1	1	20	11
N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3)	0	1	1	NA	COG0002	GC_00001851	1	1	20	11
Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase (HisC) (PDB:4R2N)	0	1	1	NA	COG0079	GC_00001597, GC_00001660, GC_00002618	1	1	20	11
Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family (ElsH) (PUBMED:15178340)	0	1	1	NA	COG3568	GC_00000171, GC_00000669, GC_00006226	1	1	20	11
GTP cyclohydrolase I (FolE) (PDB:1A8R) (PUBMED:19767425;30692671)	0	1	1	NA	COG0302	GC_00000008	1	1	20	11
Putative effector of murein hydrolase LrgA, UPF0299 family (YohJ)	0	1	1	NA	COG1380	GC_00001071, GC_00001072	1	1	20	11
Uncharacterized membrane protein YgcG, contains a TPM-fold domain (YgcG) (PDB:2KW7)	0	1	1	NA	COG1512	GC_00001154	1	1	20	11
